id,Name,Include,Level,Flood Protection Return Period,Storeys Above Ground,Model,Country,Function type,Category group,Subcategory,Secondary Subcategory,Tertiary Subcategory,Description of category by source,Method,Scale,Notes
143,MCM: Theatre/Cinema,TRUE,Average,0,,MCM,United Kingdom,Structure,Employment,Commercial,,,,Expert calculation,Micro,
144,MCM: Theatre/Cinema,TRUE,Low,0,,MCM,United Kingdom,Structure,Employment,Commercial,,,,Expert calculation,Micro,
145,MCM: Theatre/Cinema,TRUE,High,0,,MCM,United Kingdom,Structure,Employment,Commercial,,,,Expert calculation,Micro,
146,MCM: Theatre/Cinema,TRUE,Average,0,,MCM,United Kingdom,Content,Employment,Commercial,,,,Expert calculation,Micro,
147,MCM: Theatre/Cinema,TRUE,Low,0,,MCM,United Kingdom,Content,Employment,Commercial,,,,Expert calculation,Micro,
148,MCM: Theatre/Cinema,TRUE,High,0,,MCM,United Kingdom,Content,Employment,Commercial,,,,Expert calculation,Micro,
149,"MCM: Sport, leisure center",TRUE,Average,0,,MCM,United Kingdom,Structure,Employment,Commercial,Sports & Recreation,,,Expert calculation,Micro,
150,"MCM: Sport, leisure center",TRUE,Low,0,,MCM,United Kingdom,Structure,Employment,Commercial,Sports & Recreation,,,Expert calculation,Micro,
151,"MCM: Sport, leisure center",TRUE,High,0,,MCM,United Kingdom,Structure,Employment,Commercial,Sports & Recreation,,,Expert calculation,Micro,
152,"MCM: Sport, leisure center",TRUE,Average,0,,MCM,United Kingdom,Content,Employment,Commercial,Sports & Recreation,,,Expert calculation,Micro,
153,"MCM: Sport, leisure center",TRUE,Low,0,,MCM,United Kingdom,Content,Employment,Commercial,Sports & Recreation,,,Expert calculation,Micro,
154,"MCM: Sport, leisure center",TRUE,High,0,,MCM,United Kingdom,Content,Employment,Commercial,Sports & Recreation,,,Expert calculation,Micro,
155,"MCM: School, University",TRUE,Average,0,,MCM,United Kingdom,Structure,Employment,Education,School,,,Expert calculation,Micro,
156,"MCM: School, University",TRUE,Low,0,,MCM,United Kingdom,Structure,Employment,Education,School,,,Expert calculation,Micro,
157,"MCM: School, University",TRUE,High,0,,MCM,United Kingdom,Structure,Employment,Education,School,,,Expert calculation,Micro,
158,"MCM: School, University",TRUE,Average,0,,MCM,United Kingdom,Content,Employment,Education,School,,,Expert calculation,Micro,
159,"MCM: School, University",TRUE,Low,0,,MCM,United Kingdom,Content,Employment,Education,School,,,Expert calculation,Micro,
160,"MCM: School, University",TRUE,High,0,,MCM,United Kingdom,Content,Employment,Education,School,,,Expert calculation,Micro,
161,MCM: Surgery,TRUE,Average,0,,MCM,United Kingdom,Structure,Employment,Other,,,,Expert calculation,Micro,
162,MCM: Surgery,TRUE,Average,0,,MCM,United Kingdom,Content,Employment,Other,,,,Expert calculation,Micro,
163,MCM: Community Hall,TRUE,Average,0,,MCM,United Kingdom,Structure,Employment,Office,Social Infrastructure,,,Expert calculation,Micro,
164,MCM: Community Hall,TRUE,Average,0,,MCM,United Kingdom,Content,Employment,Office,Social Infrastructure,,,Expert calculation,Micro,
165,MCM: Library,TRUE,Average,0,,MCM,United Kingdom,Structure,Employment,Education,Library,,,Expert calculation,Micro,
166,MCM: Library,TRUE,Low,0,,MCM,United Kingdom,Structure,Employment,Education,Library,,,Expert calculation,Micro,
167,MCM: Library,TRUE,High,0,,MCM,United Kingdom,Structure,Employment,Education,Library,,,Expert calculation,Micro,
168,MCM: Library,TRUE,Average,0,,MCM,United Kingdom,Content,Employment,Education,Library,,,Expert calculation,Micro,
169,MCM: Average house,TRUE,Average,0,,MCM,United Kingdom,Structure,Residential,Generic,,,,Expert calculation,Micro,"Translated from absolute function, max dam assumed to be EUR 130k (2013)"
170,MCM: Average house,TRUE,Average,0,,MCM,United Kingdom,Content,Residential,Generic,,,,Expert calculation,Micro,"Translated from absolute function, max dam assumed to be EUR 62k (2013)"
171,FLEMOps: One Family house,TRUE,Average,0,,FLEMOps,Germany,Structure,Residential,Single-family,Fully-detached,,,Observations,Micro,
172,FLEMOps: One Family house,TRUE,Low,0,,FLEMOps,Germany,Structure,Residential,Single-family,Fully-detached,,,Observations,Micro,
173,FLEMOps: One Family house,TRUE,High,0,,FLEMOps,Germany,Structure,Residential,Single-family,Fully-detached,,,Observations,Micro,
